society,price,place,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
siddha eden lakevilla,0.82,bt road,10459.0,784.0,Super Built up area 1155(107.3 sq.m.)Built Up area: 865 sq.ft. (80.36 sq.m.)Carpet area: 784 sq.ft. (72.84 sq.m.),3.0,2,1,17,,New Property,North,1155.0,865.0,784.0,0,0,0,0,0,0,85.0
harisava math,0.45,brahmapur,5172.0,870.0,Super Built up area 910(84.54 sq.m.)Carpet area: 870 sq.ft. (80.83 sq.m.),3.0,2,1,1,,Old Property,South,910.0,,870.0,0,0,0,1,0,0,13.0
hiraloy,0.59,santoshpur,6555.0,900.0,Super Built up area 1202(111.67 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),3.0,2,0,0,,Old Property,South,1202.0,,900.0,0,0,1,1,0,2,26.0
godrej prakriti,0.75,sodepur,5518.0,1359.0,Super Built up area 1359(126.26 sq.m.),3.0,2,1,8,South,Relatively New,North,1359.0,,,0,0,0,0,0,1,166.0
nilachal complex,0.35,narendrapur,3428.0,1021.0,Super Built up area 1050(97.55 sq.m.),3.0,2,1,1,South,Old Property,South,1050.0,,,0,0,0,0,0,0,34.0
prasad residency,1.5,alipore,12605.0,1190.0,Super Built up area 1400(130.06 sq.m.)Built Up area: 1270 sq.ft. (117.99 sq.m.)Carpet area: 1190 sq.ft. (110.55 sq.m.),2.0,2,2,2,West,Old Property,South,1400.0,1270.0,1190.0,0,0,0,0,0,0,62.0
green valley phase 2,0.4,ichapore,4000.0,1000.0,Super Built up area 1176(109.25 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),3.0,2,2,1,South,Relatively New,North,1176.0,,1000.0,0,0,0,0,0,2,17.0
fort oasis,2.5,ballygunge,19230.0,1300.0,Super Built up area 1588(147.53 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3.0,2,1,5,South-East,Moderately Old,South,1588.0,,1300.0,0,0,0,0,0,1,139.0
on request,0.7,ultadanga,5982.0,1170.0,Super Built up area 1170(108.7 sq.m.),3.0,2,1,4,South-East,Old Property,North,1170.0,,,0,0,0,0,0,0,0.0
on request,0.58,sodepur,5979.0,970.0,Super Built up area 1348(125.23 sq.m.)Carpet area: 970 sq.ft. (90.12 sq.m.),3.0,3,3,3,South-East,Relatively New,North,1348.0,,970.0,0,0,0,0,0,1,56.0
